court	docket_date	case_count	case_numbers
1-1	2025-02-05	1	251100012716
1-1	2025-01-29	7	251100012725, 251100012721, 251100012702, 251100012723, 251100015445, 251100015391, 251100012727
1-1	2025-01-30	1	251100015584
1-1	2025-02-03	3	251100016035, 251100015684, 251100015781
1-1	2025-01-30	2	251100016195, 251100015655
1-1	2025-02-11	1	251100016195
1-1	2025-01-30	1	251100016179
1-1	2025-02-03	1	251100016206
1-1	2025-01-30	1	251100016238
1-1	2025-02-03	2	251100016098, 251100016211
1-1	2025-01-30	3	251100016255, 251100016248, 251100016247
1-1	2025-02-03	1	251100016264
1-1	2025-01-30	5	251100016260, 251100016270, 251100016302, 251100016292, 251100016312
1-1	2025-02-10	1	251100016312
1-1	2025-01-30	3	251100016691, 251100016358, 251100016332
1-1	2025-02-17	1	251100016332
1-1	2025-02-03	1	251100016634
1-1	2025-01-30	1	251100016673
1-1	2025-02-10	1	251100016673
1-1	2025-01-30	2	251100016647, 251100016699
1-1	2025-02-03	1	251100016689
1-1	2025-02-18	1	251100016689
1-1	2025-02-03	1	251100016773
1-1	2025-01-30	7	251100016812, 251100016826, 251100016830, 251100016850, 251100016843, 251100016755, 251100016803
1-1	2025-02-03	1	251100017570
1-1	2025-01-30	1	251100017601
1-1	2025-02-03	2	251100017905, 251100017615
1-1	2025-02-25	1	251100017615
1-1	2025-02-03	9	251100018322, 251100017924, 251100017929, 251100018033, 251100017562, 251100017909, 251100017882, 251100018026, 251100018064
1-1	2025-01-29	1	251100018073
1-1	2025-02-04	1	251100018326
1-1	2025-02-10	1	251100018326
1-1	2025-02-13	1	251100018326
1-1	2025-02-04	2	251100018323, 251100018324
1-1	2025-02-03	1	251100018065
1-1	2025-02-04	2	251100018328, 251100018329
1-1	2025-02-03	1	251100018353
1-1	2025-02-04	1	251100018331
1-1	2025-02-10	1	251100018331
1-1	2025-02-04	1	251100018360
1-1	2025-02-03	2	251100018340, 251100018376
1-1	2025-02-10	1	251100018340
1-1	2025-02-03	1	251100018363
1-1	2025-02-17	1	251100018363
1-1	2025-02-03	1	251100018384
1-1	2025-02-04	2	251100018366, 251100018385
1-1	2025-02-25	1	251100018385
1-1	2025-02-03	1	251100018387
1-1	2025-02-10	1	251100018387
